time,x,y,z,qx,qy,qz,qw,cov_00,cov_01,cov_02,cov_03,cov_04,cov_05,cov_10,cov_11,cov_12,cov_13,cov_14,cov_15,cov_20,cov_21,cov_22,cov_23,cov_24,cov_25,cov_30,cov_31,cov_32,cov_33,cov_34,cov_35,cov_40,cov_41,cov_42,cov_43,cov_44,cov_45,cov_50,cov_51,cov_52,cov_53,cov_54,cov_55
1786181265.405540943,-0.011478,-0.019234,-0.005499,-0.004824,0.003482,0.001482,0.999981,1.227763e-06,-1.522759e-07,2.087163e-07,-1.944801e-08,-6.131968e-08,-2.106997e-08,-1.522759e-07,1.517218e-06,-3.365115e-08,1.038322e-07,9.381704e-09,8.353491e-08,2.087163e-07,-3.365115e-08,1.181642e-06,-1.010011e-07,-1.114153e-07,3.046685e-08,-1.944801e-08,1.038322e-07,-1.010011e-07,1.186907e-07,2.014985e-08,-2.910671e-08,-6.131968e-08,9.381704e-09,-1.114153e-07,2.014985e-08,6.526180e-08,-1.437488e-08,-2.106997e-08,8.353491e-08,3.046685e-08,-2.910671e-08,-1.437488e-08,7.054933e-08
1786181265.409770012,-0.011503,-0.019231,-0.005519,-0.004814,0.003480,0.001485,0.999981,1.227763e-06,-1.522759e-07,2.087163e-07,-1.944801e-08,-6.131968e-08,-2.106997e-08,-1.522759e-07,1.517218e-06,-3.365115e-08,1.038322e-07,9.381704e-09,8.353491e-08,2.087163e-07,-3.365115e-08,1.181642e-06,-1.010011e-07,-1.114153e-07,3.046685e-08,-1.944801e-08,1.038322e-07,-1.010011e-07,1.186907e-07,2.014985e-08,-2.910671e-08,-6.131968e-08,9.381704e-09,-1.114153e-07,2.014985e-08,6.526180e-08,-1.437488e-08,-2.106997e-08,8.353491e-08,3.046685e-08,-2.910671e-08,-1.437488e-08,7.054933e-08
1786181265.415734768,-0.011544,-0.019227,-0.005546,-0.004810,0.003481,0.001489,0.999981,1.227763e-06,-1.522759e-07,2.087163e-07,-1.944801e-08,-6.131968e-08,-2.106997e-08,-1.522759e-07,1.517218e-06,-3.365115e-08,1.038322e-07,9.381704e-09,8.353491e-08,2.087163e-07,-3.365115e-08,1.181642e-06,-1.010011e-07,-1.114153e-07,3.046685e-08,-1.944801e-08,1.038322e-07,-1.010011e-07,1.186907e-07,2.014985e-08,-2.910671e-08,-6.131968e-08,9.381704e-09,-1.114153e-07,2.014985e-08,6.526180e-08,-1.437488e-08,-2.106997e-08,8.353491e-08,3.046685e-08,-2.910671e-08,-1.437488e-08,7.054933e-08
1786181265.419999123,-0.011573,-0.019224,-0.005566,-0.004811,0.003484,0.001488,0.999981,1.227763e-06,-1.522759e-07,2.087163e-07,-1.944801e-08,-6.131968e-08,-2.106997e-08,-1.522759e-07,1.517218e-06,-3.365115e-08,1.038322e-07,9.381704e-09,8.353491e-08,2.087163e-07,-3.365115e-08,1.181642e-06,-1.010011e-07,-1.114153e-07,3.046685e-08,-1.944801e-08,1.038322e-07,-1.010011e-07,1.186907e-07,2.014985e-08,-2.910671e-08,-6.131968e-08,9.381704e-09,-1.114153e-07,2.014985e-08,6.526180e-08,-1.437488e-08,-2.106997e-08,8.353491e-08,3.046685e-08,-2.910671e-08,-1.437488e-08,7.054933e-08
1786181265.425370693,-0.010413,-0.018941,-0.005882,-0.004881,0.003114,0.001598,0.999982,1.222099e-06,-1.232181e-07,2.052699e-07,-9.297024e-09,-5.312456e-08,-2.413629e-08,-1.232181e-07,1.521219e-06,-2.658348e-08,1.050609e-07,9.581376e-09,9.815637e-08,2.052699e-07,-2.658348e-08,1.249680e-06,-9.219244e-08,-1.149087e-07,2.666362e-08,-9.297024e-09,1.050609e-07,-9.219244e-08,1.308006e-07,1.788952e-08,-3.878464e-08,-5.312456e-08,9.581376e-09,-1.149087e-07,1.788952e-08,6.728924e-08,-1.194487e-08,-2.413629e-08,9.815637e-08,2.666362e-08,-3.878464e-08,-1.194487e-08,8.083469e-08
1786181265.429766893,-0.010411,-0.018931,-0.005912,-0.004880,0.003107,0.001595,0.999982,1.222099e-06,-1.232181e-07,2.052699e-07,-9.297024e-09,-5.312456e-08,-2.413629e-08,-1.232181e-07,1.521219e-06,-2.658348e-08,1.050609e-07,9.581376e-09,9.815637e-08,2.052699e-07,-2.658348e-08,1.249680e-06,-9.219244e-08,-1.149087e-07,2.666362e-08,-9.297024e-09,1.050609e-07,-9.219244e-08,1.308006e-07,1.788952e-08,-3.878464e-08,-5.312456e-08,9.581376e-09,-1.149087e-07,1.788952e-08,6.728924e-08,-1.194487e-08,-2.413629e-08,9.815637e-08,2.666362e-08,-3.878464e-08,-1.194487e-08,8.083469e-08
1786181265.435550213,-0.010405,-0.018917,-0.005953,-0.004887,0.003105,0.001586,0.999982,1.222099e-06,-1.232181e-07,2.052699e-07,-9.297024e-09,-5.312456e-08,-2.413629e-08,-1.232181e-07,1.521219e-06,-2.658348e-08,1.050609e-07,9.581376e-09,9.815637e-08,2.052699e-07,-2.658348e-08,1.249680e-06,-9.219244e-08,-1.149087e-07,2.666362e-08,-9.297024e-09,1.050609e-07,-9.219244e-08,1.308006e-07,1.788952e-08,-3.878464e-08,-5.312456e-08,9.581376e-09,-1.149087e-07,1.788952e-08,6.728924e-08,-1.194487e-08,-2.413629e-08,9.815637e-08,2.666362e-08,-3.878464e-08,-1.194487e-08,8.083469e-08
1786181265.439767122,-0.010402,-0.018908,-0.005983,-0.004898,0.003109,0.001575,0.999982,1.222099e-06,-1.232181e-07,2.052699e-07,-9.297024e-09,-5.312456e-08,-2.413629e-08,-1.232181e-07,1.521219e-06,-2.658348e-08,1.050609e-07,9.581376e-09,9.815637e-08,2.052699e-07,-2.658348e-08,1.249680e-06,-9.219244e-08,-1.149087e-07,2.666362e-08,-9.297024e-09,1.050609e-07,-9.219244e-08,1.308006e-07,1.788952e-08,-3.878464e-08,-5.312456e-08,9.581376e-09,-1.149087e-07,1.788952e-08,6.728924e-08,-1.194487e-08,-2.413629e-08,9.815637e-08,2.666362e-08,-3.878464e-08,-1.194487e-08,8.083469e-08
1786181265.445560217,-0.010401,-0.018895,-0.006024,-0.004911,0.003116,0.001564,0.999982,1.222099e-06,-1.232181e-07,2.052699e-07,-9.297024e-09,-5.312456e-08,-2.413629e-08,-1.232181e-07,1.521219e-06,-2.658348e-08,1.050609e-07,9.581376e-09,9.815637e-08,2.052699e-07,-2.658348e-08,1.249680e-06,-9.219244e-08,-1.149087e-07,2.666362e-08,-9.297024e-09,1.050609e-07,-9.219244e-08,1.308006e-07,1.788952e-08,-3.878464e-08,-5.312456e-08,9.581376e-09,-1.149087e-07,1.788952e-08,6.728924e-08,-1.194487e-08,-2.413629e-08,9.815637e-08,2.666362e-08,-3.878464e-08,-1.194487e-08,8.083469e-08
1786181265.449770927,-0.010402,-0.018886,-0.006052,-0.004919,0.003123,0.001560,0.999982,1.222099e-06,-1.232181e-07,2.052699e-07,-9.297024e-09,-5.312456e-08,-2.413629e-08,-1.232181e-07,1.521219e-06,-2.658348e-08,1.050609e-07,9.581376e-09,9.815637e-08,2.052699e-07,-2.658348e-08,1.249680e-06,-9.219244e-08,-1.149087e-07,2.666362e-08,-9.297024e-09,1.050609e-07,-9.219244e-08,1.308006e-07,1.788952e-08,-3.878464e-08,-5.312456e-08,9.581376e-09,-1.149087e-07,1.788952e-08,6.728924e-08,-1.194487e-08,-2.413629e-08,9.815637e-08,2.666362e-08,-3.878464e-08,-1.194487e-08,8.083469e-08
