time,ax,ay,az,gx,gy,gz
1786181347.569886446,-0.003685346,-0.004496593,0.99632597,0.001901557,0.003477834,0.021993853
1786181347.575711012,-0.004417768,0.007466298,0.988269329,-0.003424766,0.002412571,0.026254911
1786181347.579838514,-0.002220503,-0.004984874,0.995105267,0.002966821,0.000282042,0.025189646
1786181347.585688353,-0.00515019,-0.002299327,1.003161907,-0.005555294,0.000282042,0.026254911
1786181347.589911461,-0.008568158,0.003560048,0.990710735,0.008293143,-0.000783224,0.020928588
1786181347.595714569,-0.015892377,-0.004984874,0.999988079,-0.002359501,0.002412571,0.021993853
1786181347.599906683,-0.013939252,0.00844286,0.993640423,0.008293143,0.001347305,0.023059119
1786181347.605682373,-0.006126753,0.006001454,0.997790813,-0.001294237,0.0045431,0.024124384
1786181347.610111952,-0.010033002,0.007466298,0.989490032,-0.002359501,0.006673628,0.017732795
1786181347.615695000,-0.007103315,-0.000590343,0.990466595,-0.001294237,0.002412571,0.020928588
1786181347.620172024,-0.011497846,0.002095204,0.99657011,-0.003424766,0.002412571,0.013471738
1786181347.625505447,-0.018089643,0.006001454,0.994372845,0.001901557,0.003477834,0.015602268
1786181347.629691362,-0.021507611,-0.000590343,0.99266386,-0.00662056,0.003477834,0.00921068
1786181347.635685921,-0.011986127,0.006001454,0.995593548,-0.00449003,0.0045431,0.013471738
1786181347.640345097,0.00266231,0.001851064,0.99657011,0.000836292,0.003477834,0.01666753
1786181347.645429134,0.007789263,0.000630361,0.990954876,-0.001294237,0.005608363,0.013471738
1786181347.650045395,0.002174029,-0.003031749,0.988269329,-0.003424766,0.001347305,0.01134121
1786181347.655689716,-0.01296269,-0.012797374,0.997058392,0.006162615,-0.001848487,0.013471738
1786181347.659914494,-0.028343549,-0.008646984,1.001208782,-0.000228972,0.002412571,0.008145414
1786181347.665680647,-0.034202926,-0.007914562,0.997302532,-0.005555294,0.002412571,0.01666753
1786181347.669984579,-0.018089643,-0.011332531,0.99241972,-0.001294237,0.0045431,0.01666753
1786181347.675685167,0.004859576,-0.008402843,0.997058392,0.007227879,0.003477834,0.019863326
1786181347.679790020,0.013892779,-0.012797374,0.98070097,0.004032086,0.002412571,0.013471738
1786181347.685678482,0.006812701,-0.014750499,0.991687298,0.004032086,-0.000783224,0.015602268
1786181347.690072298,-0.01320683,-0.019145031,0.999011517,0.00509735,-0.000783224,0.015602268
1786181347.695697546,-0.02858769,-0.006449718,1.001941204,-0.000228972,0.003477834,0.017732795
1786181347.699829102,-0.032493941,-0.021586437,1.012439251,0.010423672,0.003477834,0.025189646
1786181347.705687284,-0.018333783,-0.047465343,0.973376751,-0.018338468,0.005608363,0.026254911
1786181347.710045815,-0.00124394,-0.040385265,1.01610136,-0.001294237,0.003477834,0.024124384
1786181347.715695620,0.000709185,-0.042094249,0.960193157,-0.021534262,0.002412571,0.017732795
1786181347.719860315,-0.022484174,-0.074809089,1.001941204,-0.010881618,-0.000783224,0.01666753
1786181347.725677490,-0.03591191,-0.048686046,0.991687298,-0.003424766,-0.003979016,0.01666753
1786181347.729867697,-0.034202926,-0.058207531,0.98485136,-0.001294237,0.002412571,0.014537003
1786181347.735685110,-0.023216596,-0.068217292,1.009509563,0.000836292,0.002412571,0.017732795
