time_s,rx_m,ry_m,rz_m,rtheta_x_rad,rtheta_y_rad,rtheta_z_rad,nis
5.274187325999999842e+00,3.584276198544790806e-04,1.356471527956541051e-03,-1.082987286086213412e-03,9.743541083240025210e-04,-1.070440178225957352e-04,2.586000027275174823e-04,1.079897627941001836e+01
5.279905080999999889e+00,2.964019303758891333e-04,1.222253999605057984e-03,-9.553849032527660795e-04,9.137246103796913248e-04,-9.563566788427977055e-05,2.356905515672858920e-04,9.261474791104751247e+00
5.284081459000000258e+00,2.439165836174194205e-04,1.083092829629830889e-03,-8.303580350207916128e-04,8.547199557221385685e-04,-8.745804449406422375e-05,2.146548225875540841e-04,7.910852562233797514e+00
5.289900778999999886e+00,1.896787291965637903e-04,9.612022520182755825e-04,-7.172445308068677722e-04,8.007756740460470488e-04,-7.858996632015563674e-05,1.953492091297515370e-04,6.763723811569112065e+00
5.294245004000000421e+00,1.450680586661100974e-04,8.400043373696652882e-04,-6.123871986704913437e-04,7.491821561739025158e-04,-7.237928301550181445e-05,1.791648186208730687e-04,5.786395059439264799e+00
5.299911021999999861e+00,9.769494212887551432e-05,7.284905723815328360e-04,-5.131207744325247747e-04,7.012093073851658788e-04,-6.544921301823995903e-05,1.613683701799497943e-04,4.932237515687745599e+00
5.303889036000000168e+00,6.215964186551820037e-05,6.262323938749023156e-04,-4.265224110590352599e-04,6.550432711005288629e-04,-5.717701257903544062e-05,1.466880515373239849e-04,4.210512765141813496e+00
5.309899091000000126e+00,1.906484071177716455e-05,5.263862014551097535e-04,-3.382858442577338365e-04,6.127037439764321421e-04,-5.151436217240990266e-05,1.305742435530089513e-04,3.582885380894146099e+00
5.314091443999999775e+00,-1.014335870484685959e-05,4.393997710444540183e-04,-2.669668386342223879e-04,5.719540004758888116e-04,-4.555173899941458466e-05,1.188227192440599215e-04,3.064502356115861748e+00
5.319887637999999974e+00,-4.505704913049159849e-05,3.506147608208672051e-04,-1.917145614730971295e-04,5.324310472261749956e-04,-4.007114836733828859e-05,1.054391860373777955e-04,2.595224260234664904e+00
5.324168681999999819e+00,-6.649787345818728573e-05,2.782027682092028109e-04,-1.333326454411145126e-04,4.976456596419610726e-04,-3.584131081555041911e-05,9.434339688614488105e-05,2.232176260198655893e+00
5.329738855000000441e+00,-9.729502612486080199e-05,2.013094332709922107e-04,-7.007508999088384039e-05,4.635206012098835068e-04,-3.025295739160098935e-05,8.151466209978898208e-05,1.901445697302317051e+00
5.333995104000000431e+00,-1.148721664154675817e-04,1.417175124889345078e-04,-2.338864442212595929e-05,4.312649635709681290e-04,-2.684651928548296794e-05,7.201793054540808834e-05,1.632196633710258693e+00
