time_s,raw_x,raw_y,raw_z,raw_qx,raw_qy,raw_qz,raw_qw,bias_x,bias_y,bias_z,bias_qx,bias_qy,bias_qz,bias_qw
5.114277838999999659e+00,-9.885072213277968159e-03,-1.790700403858237755e-02,-4.957423486430486900e-03,4.710394055015612418e-03,-3.635338226345259053e-03,-2.588669979901796897e-03,-9.999789474241753684e-01,-9.713333536847714930e-03,-1.828081216232669420e-02,-4.610390298740991814e-03,4.746249480101528105e-03,-3.495397869434067623e-03,-1.672676619379817728e-03,-9.999812285550835345e-01
5.120037554999999685e+00,-9.895786738177923467e-03,-1.786699719706349998e-02,-4.996721151600546328e-03,4.727826058623527984e-03,-3.647010467130925096e-03,-2.624407436150870236e-03,-9.999787295042936730e-01,-9.705972938949326487e-03,-1.828074383968882055e-02,-4.612529328425470608e-03,4.765546463127077331e-03,-3.499783455396343265e-03,-1.660616326198434108e-03,-9.999811415402244386e-01
5.123975277000000439e+00,-9.901673584160415945e-03,-1.783863123476031598e-02,-5.024877047438412216e-03,4.738722909174023293e-03,-3.653904808749764560e-03,-2.640451798793665150e-03,-9.999786105208137155e-01,-9.699001028778549485e-03,-1.828084665601705308e-02,-4.614193086987575937e-03,4.777718111603845332e-03,-3.501694830685903384e-03,-1.643983167815305825e-03,-9.999811042526267624e-01
5.129906176999999623e+00,-9.911371943351204861e-03,-1.779424577035724001e-02,-5.068650208953482186e-03,4.755105014856619329e-03,-3.665913263965917945e-03,-2.674086701488911661e-03,-9.999783994249834551e-01,-9.688567530310063583e-03,-1.828111735902024360e-02,-4.616397627058207824e-03,4.796020157333057837e-03,-3.506198439915363986e-03,-1.628399956184098038e-03,-9.999810263583670533e-01
5.134080170999999915e+00,-9.921148863140752741e-03,-1.776156778470234024e-02,-5.099851257658944391e-03,4.766612778816957038e-03,-3.675507753703856004e-03,-2.704422143210841352e-03,-9.999782278361067922e-01,-9.683627262190391133e-03,-1.828114217630536636e-02,-4.617143527440269180e-03,4.808879025616400772e-03,-3.510511517295348497e-03,-1.624097102698514533e-03,-9.999809564686744645e-01
5.140053986999999935e+00,-9.940417528166706554e-03,-1.771272920677871912e-02,-5.145366761685757177e-03,4.776700027017920062e-03,-3.690877799575568909e-03,-2.754170773207222870e-03,-9.999779873083569637e-01,-9.681048003730916007e-03,-1.828093668610962855e-02,-4.617346750335819122e-03,4.820899296290068019e-03,-3.518316216900656788e-03,-1.624272445293322136e-03,-9.999808708770365762e-01
5.144101857999999972e+00,-9.955698383300470161e-03,-1.767848688517605418e-02,-5.177623018469202851e-03,4.779210256911249101e-03,-3.702403031969497306e-03,-2.792171444433111382e-03,-9.999778273240532700e-01,-9.681001814470431913e-03,-1.828087426505417903e-02,-4.617744576640928598e-03,4.824718867939631166e-03,-3.524710481426776825e-03,-1.628682860292687568e-03,-9.999808227641209246e-01
5.149907350000000328e+00,-9.977583306915298669e-03,-1.762768501099414367e-02,-5.226398526184653295e-03,4.767349725064898465e-03,-3.712769366728271327e-03,-2.842006461486126009e-03,-9.999777051112196391e-01,-9.680171026808521983e-03,-1.828082831803498620e-02,-4.619199033644422366e-03,4.814742541873707690e-03,-3.527699727798863736e-03,-1.630345459670192159e-03,-9.999808575980683178e-01
5.154300451000000116e+00,-9.992083606699543596e-03,-1.758756785189811295e-02,-5.264888138999251031e-03,4.746675133521661288e-03,-3.715950524786672867e-03,-2.876186435604822372e-03,-9.999776939204503279e-01,-9.676909107851469974e-03,-1.828048190447859739e-02,-4.620603202595997307e-03,4.795498748029479973e-03,-3.525284183833744724e-03,-1.628075039122889485e-03,-9.999809622862066982e-01
5.159688233999999873e+00,-1.000646642506565313e-02,-1.753630540745244187e-02,-5.313757951884846668e-03,4.724189052337941438e-03,-3.719843696102030639e-03,-2.918116066473907221e-03,-9.999776644502100797e-01,-9.668837603108618173e-03,-1.827959980368336346e-02,-4.622488502606578870e-03,4.774767441749046271e-03,-3.522317040854816561e-03,-1.625300667774196061e-03,-9.999810764590899570e-01
5.164178133000000059e+00,-1.001705627615570408e-02,-1.749222989027607658e-02,-5.356147322691221305e-03,4.711416453252249489e-03,-3.721886203959983656e-03,-2.955477339668054725e-03,-9.999776073851772695e-01,-9.660154246754407495e-03,-1.827885499353237506e-02,-4.624459730962449458e-03,4.763459226675839826e-03,-3.518650370199232283e-03,-1.625406835710057826e-03,-9.999811431264024053e-01
5.169904947000000028e+00,-1.003159882553895238e-02,-1.743459318786390669e-02,-5.412435116294702329e-03,4.696653587263467308e-03,-3.727544285887011283e-03,-3.004647612996512972e-03,-9.999775092227823903e-01,-9.649378955711093719e-03,-1.827825372265571430e-02,-4.627528715816064085e-03,4.750560433878936277e-03,-3.517028588036685485e-03,-1.627058198496859594e-03,-9.999812075069679507e-01
5.174051285000000000e+00,-1.004370278068763243e-02,-1.739173157656920959e-02,-5.454370896824415130e-03,4.683770589022398859e-03,-3.734954937555404371e-03,-3.039119953058594566e-03,-9.999774378227714866e-01,-9.642639872464029566e-03,-1.827792077534919415e-02,-4.629767723043974430e-03,4.739022268252233647e-03,-3.519165375753918312e-03,-1.627126099967410224e-03,-9.999812546261325208e-01
5.179910898000000152e+00,-1.006260140473265625e-02,-1.732935780814017987e-02,-5.514925990685550471e-03,4.678031693700655975e-03,-3.743843881605193966e-03,-3.091011212281521633e-03,-9.999772723928022078e-01,-9.634179494365849999e-03,-1.827741555969332118e-02,-4.632554346665320247e-03,4.735186828287680366e-03,-3.520619087407503116e-03,-1.630394350364065955e-03,-9.999812623550528023e-01
5.184155463999999824e+00,-1.007678592589247683e-02,-1.728291935447034272e-02,-5.559783639648548971e-03,4.682905571452596408e-03,-3.749135071414754113e-03,-3.130899903454228885e-03,-9.999771056616345577e-01,-9.628014179220819452e-03,-1.827708740953146518e-02,-4.634344729695687864e-03,4.741441724611048132e-03,-3.520537709590147724e-03,-1.635059736795877253e-03,-9.999812253858892941e-01
5.189897059999999840e+00,-1.009593439093695380e-02,-1.721832093376878328e-02,-5.621875207100638858e-03,4.680335619768305998e-03,-3.756306822593084849e-03,-3.181764572811379612e-03,-9.999769302297649709e-01,-9.618928554687617566e-03,-1.827659311585538154e-02,-4.636546653594226554e-03,4.740739141788130606e-03,-3.520428130919179069e-03,-1.638280169953972324e-03,-9.999812238318525059e-01
5.194101810000000263e+00,-1.010999203402117644e-02,-1.716954588064966911e-02,-5.668420960370653197e-03,4.671743367501941108e-03,-3.761569809231600763e-03,-3.216749579365204767e-03,-9.999768386960882216e-01,-9.611795415857488437e-03,-1.827602534761208278e-02,-4.638042396366624624e-03,4.733513872410057347e-03,-3.520348272836431366e-03,-1.638375395242765674e-03,-9.999812581846332371e-01
5.199958801000000186e+00,-1.013039787881369995e-02,-1.709938039115084865e-02,-5.734683409638624205e-03,4.678507165352422878e-03,-3.773519971343668178e-03,-3.265530355030434300e-03,-9.999766039409272445e-01,-9.601962952234140841e-03,-1.827478439510612715e-02,-4.639874849407867388e-03,4.742174510779479518e-03,-3.524885711385825418e-03,-1.638551781613726893e-03,-9.999812008781415740e-01
5.204135178999999667e+00,-1.014626263161501514e-02,-1.704776826979705409e-02,-5.782815776230628563e-03,4.696687568154249079e-03,-3.785334177246935453e-03,-3.300348656305938239e-03,-9.999763597554697236e-01,-9.595755765476039409e-03,-1.827357813646643403e-02,-4.640872262039744817e-03,4.761702111744465712e-03,-3.531435946880213863e-03,-1.638708777874437177e-03,-9.999810847144527948e-01
5.209891318999999577e+00,-1.016992044672941110e-02,-1.697471031253888762e-02,-5.850793322900278530e-03,4.712554690393179133e-03,-3.798560153757125392e-03,-3.343718199757008975e-03,-9.999760908730014330e-01,-9.588301053322629761e-03,-1.827170863149447932e-02,-4.642258291729582133e-03,4.779429916944379769e-03,-3.537391207205595536e-03,-1.634308507180251037e-03,-9.999809862936492877e-01
5.214114903999999662e+00,-1.018785426830655025e-02,-1.691993767479616287e-02,-5.902479515395892169e-03,4.717453836303479517e-03,-3.806021849123020738e-03,-3.372151349524438353e-03,-9.999759439217837942e-01,-9.582898763320539873e-03,-1.827043773296397819e-02,-4.643882649283152635e-03,4.785697280969220327e-03,-3.539506223782677707e-03,-1.627692312984827753e-03,-9.999809596262125844e-01
5.219910145000000057e+00,-1.021218415745136707e-02,-1.684330780615373238e-02,-5.976054708929764460e-03,4.714899760131375205e-03,-3.813211991363945740e-03,-3.412687520184885803e-03,-9.999757910561888341e-01,-9.574514669101559863e-03,-1.826896613588481488e-02,-4.647113536177760636e-03,4.785026312339832333e-03,-3.539344053127396403e-03,-1.620139471868498743e-03,-9.999809756765153379e-01
5.223978041999999711e+00,-1.022859660206888559e-02,-1.678831242176719724e-02,-6.029070405293208805e-03,4.706595505913096188e-03,-3.816119667707408656e-03,-3.442210125375841021e-03,-9.999757178946288017e-01,-9.567485901306790191e-03,-1.826793599496896389e-02,-4.649608897622736076e-03,4.778048033607910743e-03,-3.537079282231563905e-03,-1.615908537470567936e-03,-9.999810239033229964e-01
5.229895830000000245e+00,-1.025182651508651371e-02,-1.670657834156329818e-02,-6.107817125423440491e-03,4.702394085718936655e-03,-3.821905873224704358e-03,-3.486756855379497845e-03,-9.999755612273684147e-01,-9.555915232332817810e-03,-1.826648603540181187e-02,-4.653177695269542988e-03,4.775773192130954026e-03,-3.535355369793907309e-03,-1.611349885319149572e-03,-9.999810482226019204e-01
5.234162330000000196e+00,-1.026918380646373724e-02,-1.664680033194121736e-02,-6.166019193018935918e-03,4.705045685092308985e-03,-3.827199247968180590e-03,-3.520025928781537333e-03,-9.999754119519531637e-01,-9.547672024980245406e-03,-1.826589256596582514e-02,-4.655942199059493435e-03,4.779812013349203290e-03,-3.535244984286626049e-03,-1.609214145871160724e-03,-9.999810327550472389e-01
5.239918470000000106e+00,-1.029480619395826795e-02,-1.656521400731160096e-02,-6.246311267492477871e-03,4.704036064759279517e-03,-3.834342550467050980e-03,-3.561827394588336013e-03,-9.999752413172630083e-01,-9.538082585039795933e-03,-1.826587805389895749e-02,-4.659799020188440388e-03,4.780673047361001446e-03,-3.535088803874103600e-03,-1.603250610004043879e-03,-9.999810387701582037e-01
5.244012832000000124e+00,-1.031482342726133122e-02,-1.650623955967069761e-02,-6.304173730452013701e-03,4.700055171992081025e-03,-3.839424994771206516e-03,-3.589367636868757375e-03,-9.999751420595700546e-01,-9.532584357065969002e-03,-1.826612877121129921e-02,-4.662145303732929784e-03,4.778022090545205706e-03,-3.534972530966181553e-03,-1.596816413712628425e-03,-9.999810621464030325e-01
5.249903917000000142e+00,-1.034627439772942831e-02,-1.641976596711903005e-02,-6.388425850998667894e-03,4.702177234873458449e-03,-3.848278448512639470e-03,-3.629016063434406265e-03,-9.999749549486957045e-01,-9.526642008342758872e-03,-1.826662287413157240e-02,-4.664845562142546850e-03,4.782054629793541095e-03,-3.536361566732362880e-03,-1.587578941908495073e-03,-9.999810526672444633e-01
5.254540682000000018e+00,-1.037277311781065366e-02,-1.635025709087007187e-02,-6.455951248681538607e-03,4.691447590828212375e-03,-3.852874275594315653e-03,-3.671300029701558224e-03,-9.999748333010241019e-01,-9.523146029446814473e-03,-1.826702027531315609e-02,-4.666793931956847441e-03,4.772837126759806904e-03,-3.535057957237923779e-03,-1.591389836257934339e-03,-9.999810952560002075e-01
5.260030268999999592e+00,-1.040467332381507515e-02,-1.626570820171684834e-02,-6.537262645394325070e-03,4.681673697318017476e-03,-3.859766581811185319e-03,-3.721365517774421778e-03,-9.999746674651358580e-01,-9.518894845182692896e-03,-1.826689766928153019e-02,-4.668884362074626239e-03,4.764850485046589861e-03,-3.534971866447812836e-03,-1.595905011823317392e-03,-9.999811264523705834e-01
5.264025688000000258e+00,-1.042738502945481267e-02,-1.620235333102762118e-02,-6.597460131151883928e-03,4.691616622966597594e-03,-3.868955707705968791e-03,-3.753593779262565447e-03,-9.999744648984468798e-01,-9.514859439768576232e-03,-1.826612613594230314e-02,-4.670344009160617461e-03,4.776083892452530691e-03,-3.539117855497563893e-03,-1.594975040825095253e-03,-9.999810596816702812e-01
5.269892214999999602e+00,-1.045941964523851818e-02,-1.610711087861503923e-02,-6.688296925020314511e-03,4.706204214213680938e-03,-3.879323593688950057e-03,-3.800929617113515870e-03,-9.999741773787937937e-01,-9.506961826395723958e-03,-1.826451188790674182e-02,-4.673286858669235128e-03,4.792573069352017677e-03,-3.542080823342041215e-03,-1.593624475448669883e-03,-9.999809724528998522e-01
5.274187325999999842e+00,-1.048221590898188067e-02,-1.603623271328950828e-02,-6.756718626629348336e-03,4.721473149904000140e-03,-3.884582355105655090e-03,-3.829895383202934489e-03,-9.999739744676232611e-01,-9.500029396211131724e-03,-1.826349029770813620e-02,-4.676114582598631976e-03,4.809237387060028186e-03,-3.541927752877218304e-03,-1.586943666233180334e-03,-9.999809036143382235e-01
5.279905080999999889e+00,-1.051288468484958341e-02,-1.594068020458435514e-02,-6.849244585212443601e-03,4.731128851513728695e-03,-3.891638140575227889e-03,-3.871459277529966728e-03,-9.999737413429593547e-01,-9.490482447928457951e-03,-1.826264130283683160e-02,-4.679689935917543016e-03,4.820751630872621360e-03,-3.541755542499372845e-03,-1.581057662131729298e-03,-9.999808581058238222e-01
5.284081459000000258e+00,-1.053630287741402598e-02,-1.587007490664350470e-02,-6.917604229985286832e-03,4.727055161293273848e-03,-3.897957631673784097e-03,-3.903994354198819620e-03,-9.999736095037139449e-01,-9.484066718881384306e-03,-1.826243864316942980e-02,-4.681901876360957358e-03,4.818033619277404742e-03,-3.542770278588135840e-03,-1.578938068615382689e-03,-9.999808709597260981e-01
5.289900778999999886e+00,-1.057153328604586509e-02,-1.577046245148409909e-02,-7.014181988866656503e-03,4.716699496896316172e-03,-3.906817913849130845e-03,-3.957058932453327502e-03,-9.999734152487500527e-01,-9.477083675279071237e-03,-1.826264788895858374e-02,-4.684655370352345388e-03,4.809569671868941208e-03,-3.544228876117982378e-03,-1.583716920179962812e-03,-9.999808989785565760e-01
5.294245004000000421e+00,-1.059954137326538960e-02,-1.569471511282587856e-02,-7.087134210885664108e-03,4.714753450035178740e-03,-3.915734099080521273e-03,-3.998998064325884165e-03,-9.999732227119146888e-01,-9.473090764907007508e-03,-1.826272785320440240e-02,-4.686309994156482445e-03,4.809031225106307796e-03,-3.547633542247668765e-03,-1.589607618530453894e-03,-9.999808801484882936e-01
5.299911021999999861e+00,-1.063646871977378533e-02,-1.559343237439119075e-02,-7.183515117723577106e-03,4.716753954523049755e-03,-3.928846843664175574e-03,-4.052199473665908831e-03,-9.999729476711044507e-01,-9.467654046775686449e-03,-1.826203239425579217e-02,-4.688085197689856494e-03,4.812863468252982085e-03,-3.553568595278848354e-03,-1.595790530014562980e-03,-9.999808307903002014e-01
5.303889036000000168e+00,-1.066205063961118624e-02,-1.552077870270422190e-02,-7.252511367878343787e-03,4.711776555211275377e-03,-3.932786922507550999e-03,-4.090610656227470533e-03,-9.999727992566472823e-01,-9.463071472098577228e-03,-1.826114387326738253e-02,-4.689567681265489722e-03,4.809185468687579741e-03,-3.552453793003805104e-03,-1.601193742284611919e-03,-9.999808438094082153e-01
5.309899091000000126e+00,-1.070018404168112530e-02,-1.540930461320675661e-02,-7.359434924709129348e-03,4.710664512433658697e-03,-3.935489778271861368e-03,-4.143881615378121157e-03,-9.999725745265287680e-01,-9.454979694419975156e-03,-1.825988356442391838e-02,-4.692780302197048330e-03,4.810042788482198420e-03,-3.547535098007904841e-03,-1.604593515685601504e-03,-9.999808516980467354e-01
5.314091443999999775e+00,-1.072691332902910889e-02,-1.533026239789288085e-02,-7.435424552662195895e-03,4.706552591875550438e-03,-3.937373268295938505e-03,-4.177678550245020328e-03,-9.999724458485728107e-01,-9.449001847675159507e-03,-1.825899367646063171e-02,-4.695207740193205193e-03,4.807303289746592788e-03,-3.544093293639580429e-03,-1.603603758389444446e-03,-9.999808786635835389e-01
5.319887637999999974e+00,-1.076553594520380207e-02,-1.521916887915543588e-02,-7.541677623769676639e-03,4.697805120047865955e-03,-3.941511987601195241e-03,-4.219754798879531144e-03,-9.999722940060604692e-01,-9.441783178405698668e-03,-1.825766339435717922e-02,-4.698109069176199283e-03,4.800447465378730565e-03,-3.540861061880262381e-03,-1.597586224854926793e-03,-9.999809326808821730e-01
5.324168681999999819e+00,-1.079577000810369100e-02,-1.513597933638550705e-02,-7.621201962799740298e-03,4.698199179039777920e-03,-3.947960194051862610e-03,-4.250843024938346336e-03,-9.999721350459509495e-01,-9.437699113674305126e-03,-1.825681762472579697e-02,-4.700071087480165583e-03,4.802229782851080708e-03,-3.541883086987855297e-03,-1.593149503077777654e-03,-9.999809275821073262e-01
5.329738855000000441e+00,-1.083629491307240914e-02,-1.502601079166140420e-02,-7.725960091276863270e-03,4.694233349627167408e-03,-3.959384582712605419e-03,-4.301644870135063262e-03,-9.999718912541475380e-01,-9.432989191580498992e-03,-1.825561193687406589e-02,-4.702349339627118728e-03,4.800066553018395368e-03,-3.546236622624042521e-03,-1.597730551984333572e-03,-9.999809152298789749e-01
5.333995104000000431e+00,-1.086678562724450840e-02,-1.494046022377025842e-02,-7.807206817631120489e-03,4.687788326733334857e-03,-3.965867111351237782e-03,-4.341593931004077145e-03,-9.999717231506085602e-01,-9.428472146912655893e-03,-1.825441271652787287e-02,-4.704098373475279656e-03,4.795005498361411787e-03,-3.547307123239013590e-03,-1.602363303241330144e-03,-9.999809283012793815e-01
5.339904545999999641e+00,-1.090686229637365806e-02,-1.482020450891908224e-02,-7.922980327071671436e-03,4.685145005016482823e-03,-3.968501008721635540e-03,-4.387671883426058107e-03,-9.999715239702925418e-01,-9.419313976122726390e-03,-1.825306641497783169e-02,-4.707783350940338528e-03,4.794297059209597610e-03,-3.542443059221848933e-03,-1.599405507448702557e-03,-9.999809536760703166e-01
5.343934535999999902e+00,-1.093311914356804443e-02,-1.473758548506029151e-02,-8.003965011525308523e-03,4.686561577494989007e-03,-3.969204836026846324e-03,-4.418039684443444970e-03,-9.999713808299198758e-01,-9.411579054466405123e-03,-1.825273236551529579e-02,-4.711186674877681536e-03,4.797035710965845065e-03,-3.538042448242665131e-03,-1.596331738434233344e-03,-9.999809610332603960e-01
