time_s,rx_m,ry_m,rz_m,rtheta_x_rad,rtheta_y_rad,rtheta_z_rad,nis
1.306991195700000041e+01,-1.915214871237328961e-03,2.041066735351138722e-03,2.841586277474373017e-03,-6.537749766390810006e-04,-4.673649716278931800e-05,1.587778514581756955e-04,1.038780278820158109e+01
1.317002034200000082e+01,-3.763462011448538702e-04,2.558000937232053629e-03,7.949949375788607255e-04,7.020599822476974528e-04,9.106409985750739568e-06,-5.401532187341290389e-04,9.127252240610921774e+00
1.326989913000000065e+01,1.751564078334292771e-03,8.481805426649446922e-04,1.092117846303163053e-03,-1.225997362277927213e-03,-3.941574996630465753e-04,2.357838883542468693e-04,1.421938757704355183e+01
1.336989784200000031e+01,1.030869186071609739e-03,-4.688023189586970618e-04,-1.418632033866287345e-03,1.538332732699176019e-04,3.179155055823911055e-04,-1.036228163632394106e-04,3.045645589791329488e+00
1.346992111199999975e+01,-7.827922213019498920e-05,-4.080852954246073916e-04,-1.175051782250829523e-03,-1.847573561419997275e-04,-6.203305626810490985e-04,6.696007594809393060e-04,9.880636429777659657e+00
1.356998705800000060e+01,-1.131630207139555297e-03,-1.332693727289415569e-03,-3.864467885206870380e-04,-1.247077910996101878e-04,1.929618881702549780e-05,1.020746710039291091e-04,1.607896844124144797e+00
1.366991877499999930e+01,-1.877019714722953300e-03,-1.364535805078156971e-03,-2.776967094551456919e-04,-5.210509697813714251e-04,-1.311474038755692422e-04,-3.377836223452055091e-05,4.422974871067312463e+00
1.376991271900000058e+01,-1.987162451900002444e-03,-4.235090118459572395e-07,3.249844810784565351e-04,-4.065201571616364380e-05,2.304013680628183743e-04,-1.820001202272773853e-04,2.897071787241551455e+00
1.386990690200000031e+01,5.932205042527820965e-04,2.425880322565372033e-03,-9.813085355039430184e-04,6.062950477044525520e-04,-4.847918459481506144e-05,3.340180833314172868e-04,6.572860557323810582e+00
1.396990728299999951e+01,1.142007944047576662e-03,6.568476634740035014e-04,-1.179210810542678529e-03,3.201251913006130886e-04,-1.772215023470911466e-04,-1.405374023636483266e-04,2.824110607117310767e+00
1.406990480400000010e+01,9.839841336909613267e-04,3.942650545189253786e-04,-1.058853344289806091e-03,5.095708743464602390e-04,4.088768365262161557e-04,2.721713500096067267e-04,5.591808332443696017e+00
1.416992092099999923e+01,7.061530622618928527e-04,-2.299958165865496201e-03,7.687299224480304005e-04,-8.387868439647617937e-04,1.813759856306723249e-04,3.770261948703931831e-04,9.463977598888803300e+00
1.426991414999999996e+01,2.358484500697031680e-03,-1.343139044201174109e-03,7.143639269163492081e-04,-8.398976412419803712e-05,-2.116604877319821240e-04,-1.921813847486312924e-04,4.586075996073409655e+00
1.436990809399999947e+01,2.347003346975205795e-04,-3.063491537621899907e-03,1.903593767886644760e-03,-4.570626756120769671e-04,2.727122166578993989e-04,-4.806161583986550399e-04,1.042354455042149297e+01
1.446991944300000021e+01,-5.889444061284027088e-04,-7.233352793559084948e-04,5.814435352967882963e-04,-4.807355557082550174e-05,-3.895764865004312880e-05,3.545942095005472951e-04,1.804754343434111341e+00
1.456969761799999930e+01,-9.164701088457266609e-04,1.765824653449762222e-03,-1.017789573925619549e-03,1.190165566880402157e-04,2.159312862843227893e-04,1.414050065151224451e-04,2.994646062245310159e+00
1.466990041699999914e+01,-8.159146015530166496e-04,2.691459663790748275e-03,-1.904471902577205278e-03,4.584045656097382828e-04,-1.361874070564648890e-05,2.869061899603406098e-04,7.150428765165000478e+00
1.476992750099999974e+01,-1.746029063103267040e-03,2.229754991019742422e-03,-1.059849747776088306e-03,-5.652586139560850965e-04,-7.573603279764888217e-05,7.883291512882492560e-05,6.016783036559878894e+00
1.486990261000000046e+01,2.923449531417182667e-04,1.695462146120582658e-03,-5.978121691969711868e-04,-3.288441377052770022e-05,7.375247649434562962e-05,7.050355200720003998e-05,1.389231528005640870e+00
1.496999669000000033e+01,1.056702050151280339e-03,1.067298169403384928e-03,1.650064090924193219e-03,-5.065342350815951397e-04,-5.917515543256868672e-04,1.395885047847180186e-04,7.878310719299874698e+00
1.506993865899999996e+01,-1.036855437690218859e-03,2.693179804499831742e-04,5.583819357744546075e-04,1.610915372473599417e-04,2.688098500402529751e-06,-3.455288587276434667e-04,2.033442156116957555e+00
1.516975831999999969e+01,-1.300066637369649142e-04,-1.380257160850176246e-04,1.326935906471928342e-03,-5.721382320129493560e-04,1.251101246385132417e-04,-5.606137245932136441e-05,3.050918271968027451e+00
1.526990532800000011e+01,-8.391671454532553809e-04,-9.889702891610376023e-04,1.936316224588725213e-03,-1.885095551700980245e-04,-7.930308445722243464e-05,-9.391519051267177448e-06,2.814955965053003606e+00
1.536990642499999993e+01,2.097088626671298611e-04,-7.786043758778796176e-04,1.655571827886953215e-03,-2.018302587053398761e-04,-5.629628015632499871e-04,3.431621310187195199e-04,6.779543331281628227e+00
1.546997976299999955e+01,1.381495005561013401e-03,-9.415815755481997396e-04,-4.918877321620830113e-04,-2.359560893553189632e-04,6.556027512819040132e-04,-3.601378540136787425e-04,7.714322705123547230e+00
1.556978082600000057e+01,1.859342820896229403e-04,-1.970835698191127083e-04,-2.572106338986955478e-03,4.900601344825385565e-04,4.871066987267267138e-04,-7.747878946185662462e-05,7.769802772047311734e+00
1.566991972900000007e+01,-3.635229103236235770e-04,-1.549398310679850344e-03,-1.677011337428438009e-03,-4.281720604865522830e-04,-7.648133824828928350e-05,-1.986673084435212401e-04,4.088494785067527282e+00
1.576971125600000079e+01,-8.857968229623522372e-05,9.671865242770506799e-04,-2.086785438325411413e-03,4.990460027323482617e-04,1.469112783927239974e-04,1.408401245355338899e-04,4.647903874213676900e+00
1.586991405500000063e+01,-3.006054659424033798e-04,1.575377718076656497e-03,-1.421681646122480332e-03,4.846138531868834508e-04,3.533190703310224150e-04,-3.363831607687540440e-04,5.949230407888283167e+00
1.596990561500000005e+01,-4.435616859803041129e-04,9.601838399241509336e-04,-2.064774114936230795e-04,3.429678743119935294e-04,2.508607241593295003e-04,-1.157339409214636494e-05,2.000385076665762263e+00
1.606992530799999841e+01,-5.599438364632790960e-04,1.244301821045797063e-04,1.392867619050414986e-03,3.294768422286269973e-04,-6.200113307444633252e-06,3.191795789577924619e-04,2.691153252527151984e+00
1.616994524000000055e+01,-1.573776227373769807e-03,-5.973230306409900436e-04,1.869803181449481051e-03,-4.710471116470567711e-04,6.318159463005188284e-04,-2.560425127993208550e-04,9.641890312732975588e+00
1.626991557999999927e+01,4.132027329942517674e-04,-7.475338192573927065e-04,2.140727782689580937e-03,-8.874547356744173039e-04,-4.280316962381966483e-04,4.159736998856148867e-04,1.097252842190937372e+01
1.636990618700000155e+01,6.086120014228563191e-04,-1.415307637726077872e-03,1.348409353361792150e-03,-4.741286105301911660e-04,-3.869546062062425884e-05,-2.258486941595200159e-05,3.320412203579629296e+00
1.646991109800000075e+01,2.094962699280170787e-03,2.309086956907950572e-04,-6.720821943492182038e-04,7.286550566008182796e-05,2.301543109054646414e-04,1.681117386055954171e-04,3.138706525134133507e+00
1.656997084600000036e+01,1.467386428396298681e-03,5.239204155404568464e-04,-7.398362399665125988e-04,-4.000583108721390770e-04,-1.480613374850196166e-04,5.575527569341750655e-04,5.678232737888489368e+00
1.666994333199999900e+01,1.762582415972104369e-03,-4.905277554417518393e-04,-5.489147989088350929e-04,-2.774782211987622711e-04,3.458032796095214046e-04,2.392385190642141524e-04,3.995217228159938294e+00
1.676991081199999911e+01,7.990773268746909769e-04,1.563447778146237477e-03,-4.859161185270105543e-04,1.767824485944597583e-04,-1.285144891000666368e-04,1.602687541925440333e-04,1.962416629548673352e+00
1.686991858500000063e+01,-1.991521049625310374e-04,2.423558067127636051e-03,-7.417028884155411200e-04,-1.700852849452583308e-06,-1.454272802496187880e-04,-6.570737696449034345e-05,2.713465443260268284e+00
1.696991228999999990e+01,-8.745703304523701899e-04,9.607410037472570441e-04,7.271386969580637474e-04,-4.600585567099087076e-06,5.020273672692066340e-04,-6.516203103384924245e-04,8.292634277600145154e+00
1.706994485799999950e+01,-1.558381422542793465e-03,-8.171790745965454295e-04,-2.019987106699119156e-04,-3.608743011143966152e-04,2.460169136997969724e-04,-3.828232958211099621e-05,3.111804209799954535e+00
1.716992258999999876e+01,-1.732947403426093186e-03,-1.390925489562617329e-03,-8.809868245662575564e-04,-5.127280501808539529e-05,4.708442207753731285e-04,-6.216641272480553709e-04,9.434205788935507542e+00
1.726992034899999950e+01,-1.283001573428347100e-03,-2.536602225383287335e-03,1.910298459942196686e-05,-1.047936260052578393e-03,-7.187942038862847030e-05,-6.460271172122656129e-06,1.065042701434641792e+01
1.736991143199999854e+01,8.299877191443490176e-04,-1.304906807987855216e-03,1.584223762953078374e-03,-4.371437498572856113e-04,-2.481388320150411343e-05,5.193407554669678171e-05,3.573179069952667319e+00
1.746992278100000107e+01,2.277904455111338239e-03,-6.334751173777616873e-04,-1.225526246983717552e-05,-1.102076916196208537e-03,-4.582669667891404634e-05,9.546029007523460896e-05,1.062173907577253296e+01
